Endpoint,Path,Method,Concurrency Level,Time taken for tests (s),Complete requests,Total transferred (bytes),Requests per second,Time per request (ms),Time per request (ms) (across all concurrent requests),Transfer rate (Kbytes/sec) 
/api/v1/logs,/,POST,10,0.602,100,16100,166.22,60.160,6.016,26.13
/api/v1/users,/,POST,10,0.545,100,19550,183.37,54.535,5.453,35.01
/api/v1/users/authorize,/authorize,POST,10,0.508,100,16800,196.92,50.781,5.078,32.31
/api/v1/users/ban,/ban,POST,10,0.569,100,16800,175.85,56.865,5.687,28.85
/api/v1/users/unban,/unban,POST,10,0.181,100,16100,553.11,18.080,1.808,86.96
/api/v1/websites,/,POST,10,0.522,100,16800,191.47,52.227,5.223,31.41
/api/v1/logs,/,POST,100,0.896,1000,161000,1115.84,89.618,0.896,175.44
/api/v1/users,/,POST,100,0.952,1000,196000,1050.35,95.206,0.952,201.04
/api/v1/users/authorize,/authorize,POST,100,5.582,1000,168000,179.14,558.238,5.582,29.39
/api/v1/users/ban,/ban,POST,100,4.909,1000,168000,203.71,490.896,4.909,33.42
/api/v1/users/unban,/unban,POST,100,0.675,1000,161000,1480.94,67.525,0.675,232.84
/api/v1/websites,/,POST,100,5.390,1000,168000,185.54,538.973,5.390,30.44
/api/v1/logs,/,POST,200,0.716,1000,161000,1395.76,143.291,0.716,219.45
/api/v1/users,/,POST,200,0.546,1000,196000,1832.86,109.119,0.546,350.82
/api/v1/users,/authorize,POST,200,5.068,1000,168000,197.31,1013.623,5.068,32.37
/api/v1/users,/ban,POST,200,5.024,1000,168000,199.06,1004.728,5.024,32.66
/api/v1/users,/unban,POST,200,0.396,1000,161000,2527.83,79.119,0.396,397.44
/api/v1/websites,/,POST,200,4.500,1000,168000,222.21,900.033,4.500,36.46
/api/v1/logs,/,POST,300,0.498,1200,193200,2412.00,124.378,0.415,379.23
/api/v1/users,/,POST,300,0.776,1200,235200,1545.80,194.074,0.647,295.88
/api/v1/users/authorize,/authorize,POST,300,6.107,1200,201600,196.50,1526.755,5.089,32.24
/api/v1/users/ban,/ban,POST,300,5.434,1200,201600,220.85,1358.400,4.528,36.23
/api/v1/users/unban,/unban,POST,300,0.453,1200,193200,2649.04,113.249,0.377,416.50
/api/v1/websites,/,POST,300,5.278,1200,201600,227.35,1319.555,4.399,37.30
/api/v1/logs,/,POST,800,0.881,2400,386400,2723.54,293.735,0.367,428.21
/api/v1/users,/,POST,800,0.813,2400,470400,2950.61,271.130,0.339,564.77
/api/v1/users/authorize,/authorize,POST,800,13.489,2400,403200,177.92,4496.427,5.621,29.19
/api/v1/users/ban,/ban,POST,800,12.548,2400,403200,191.27,4182.584,5.228,31.38
/api/v1/users/unban,/unban,POST,800,0.743,2400,386400,3231.25,247.582,0.309,508.04
/api/v1/websites,/,POST,800,14.373,2400,403200,166.97,4791.138,5.989,27.39
/api/v1/logs,/,POST,1000,2.436,10000,1610000,4104.87,243.613,0.244,645.39
/api/v1/users,/,POST,1000,2.966,10000,1960000,3371.69,296.587,0.297,645.36
/api/v1/users/authorize,/authorize,POST,1000,58.884,10000,1680000,169.83,5888.406,5.888,27.86
/api/v1/users/ban,/ban,POST,1000,50.587,10000,1680000,197.68,5058.725,5.059,32.43
/api/v1/users/unban,/unban,POST,1000,2.277,10000,1610000,4391.15,227.731,0.228,690.40
/api/v1/websites,/,POST,1000,52.230,10000,1680000,191.46,5222.962,5.223,31.41